tx_id,amount,timestamp,pos_terminal_id
36c326d2-af6d-432b-b822-f3d4042072f1,1027.78,2026-06-03T16:35:00+00:00,POS_02
0dd8d559-af27-49ed-bf77-89ce1e573e74,771.1,2026-06-03T19:40:00+00:00,POS_02
93ee689f-8e87-4b60-9df0-1f4e3418d85d,2992.05,2026-06-03T19:28:00+00:00,POS_03
d22424f2-62c9-4739-8317-ed8fb54f70c7,2092.07,2026-06-03T17:33:00+00:00,POS_02
b0aaee25-ba6a-4640-88b4-04023070ed1f,1140.15,2026-06-03T12:20:00+00:00,POS_02
b7ac8749-2f5f-4e16-bbff-1613c0ab923b,1560.91,2026-06-03T15:56:00+00:00,POS_03
c3681c88-50ab-4fb7-bc62-f01abb4146e5,2836.85,2026-06-03T19:01:00+00:00,POS_02
52aa649c-660c-41ca-a7bc-0c06a9ce8c71,2293.06,2026-06-03T09:26:00+00:00,POS_01
b1ea88c6-c16c-42e4-a2d1-217c07d23b53,1907.33,2026-06-03T11:35:00+00:00,POS_01
983de9ce-ceb7-4977-88ae-9064b7cd79f6,1323.89,2026-06-03T10:44:00+00:00,POS_02
348be869-be20-48b9-894d-04172ee0c53b,935.95,2026-06-03T13:11:00+00:00,POS_02
d9a7b0b9-cdcd-4cf7-92df-b166d9c2a5db,2558.44,2026-06-03T14:29:00+00:00,POS_02
14087ee3-3efa-48b7-80ca-1cdc422bf25a,332.19,2026-06-03T14:15:00+00:00,POS_01
d63ee7e7-74ca-4bd1-aa03-ad85ff8550c8,1125.61,2026-06-03T14:04:00+00:00,POS_02
410b42d7-4cd9-4faf-be3d-ac29f96db7a3,1248.65,2026-06-03T16:18:00+00:00,POS_02
70d2a9f1-65cf-45fe-ba83-6e80e761c235,2680.98,2026-06-03T12:59:00+00:00,POS_01
f64a3f52-5df6-483e-b8c7-a7eca48d2b50,1341.92,2026-06-03T20:34:00+00:00,POS_03
eefc4547-dca1-4382-82a8-4aab2d04ff2b,1952.47,2026-06-03T18:15:00+00:00,POS_02
ad5e4aad-7cc6-485a-bc7a-c302cc88e80a,2212.15,2026-06-03T12:34:00+00:00,POS_01
a8b1c40c-ace4-443a-8488-4dce99d13ee4,1382.85,2026-06-03T13:18:00+00:00,POS_02
8f8540d8-0167-483f-ae88-0294114f78eb,2166.67,2026-06-03T19:13:00+00:00,POS_01
d7ae2348-638c-412a-a7df-9a97882ef80f,393.55,2026-06-03T09:45:00+00:00,POS_02
aa378bd4-fb86-477e-b921-d2cdf80e25d9,1811.12,2026-06-03T20:26:00+00:00,POS_03
fce8b282-2e8e-410f-bb52-a924be938e5b,1564.81,2026-06-03T13:36:00+00:00,POS_02
7157f8b3-f5c9-4219-8b99-e6b574e46407,1881.02,2026-06-03T19:35:00+00:00,POS_02
14f5a879-1dc9-454f-9c30-a9eaca949f86,1991.62,2026-06-03T17:54:00+00:00,POS_03
58be9fa5-623d-4daf-9d92-1d1a2cae4890,2476.73,2026-06-03T20:12:00+00:00,POS_02
4cd11f86-f5fb-4fab-92b2-a11d28116278,2360.58,2026-06-03T10:19:00+00:00,POS_03
f3fa42ad-8c1a-48f6-ad3e-e7ad7db6dc20,2680.0,2026-06-03T20:49:00+00:00,POS_01
ba77d997-3d47-445f-b376-8dd1cd6a74f4,2164.33,2026-06-03T14:49:00+00:00,POS_01
